id,type,item,item_id,amount,x,y,z,area,state
82,unique,KeyGraphite,187,2,-838.13,25.88,547.50,,confirmed
83,unique,KeyGraphite,187,1,-836.84,61.19,-70.97,,confirmed
335,unique,KeyGraphite,187,1,-800.29,68.40,-571.84,,needs check
336,unique,KeyGraphite,187,1,-770.29,105.15,-236.83,,needs check
84,unique,KeyGraphite,187,2,-737.79,25.96,-877.16,,confirmed
85,unique,KeyGraphite,187,2,-735.61,126.44,-3.83,,confirmed
337,unique,KeyGraphite,187,2,-730.48,103.24,163.02,,confirmed
338,unique,KeyGraphite,187,1,-723.30,26.50,783.82,,confirmed
339,unique,KeyGraphite,187,2,-722.52,118.01,-332.24,,needs check
86,unique,KeyGraphite,187,2,-707.48,41.66,575.22,,confirmed
340,unique,KeyGraphite,187,2,-696.70,134.48,474.22,,confirmed
341,unique,KeyGraphite,187,2,-687.70,108.45,-163.57,,needs check
87,unique,KeyGraphite,187,2,-686.20,97.97,-711.23,,confirmed
342,unique,KeyGraphite,187,2,-677.06,173.63,340.61,,confirmed
343,unique,KeyGraphite,187,2,-643.15,95.04,554.89,,confirmed
344,unique,KeyGraphite,187,1,-641.36,60.27,-521.66,,needs check
345,unique,KeyGraphite,187,2,-635.45,120.55,-354.31,,needs check
88,unique,KeyGraphite,187,2,-596.63,221.75,315.48,,confirmed
89,unique,KeyGraphite,187,2,-578.99,96.78,-434.62,,confirmed
90,unique,KeyGraphite,187,1,-529.82,101.51,-160.12,,confirmed
91,unique,KeyGraphite,187,2,-510.55,131.23,138.97,,confirmed
347,unique,KeyGraphite,187,2,-509.41,32.29,-799.82,,needs check
92,unique,KeyGraphite,187,2,-476.70,197.04,384.28,,confirmed
93,unique,KeyGraphite,187,2,-457.27,67.34,-573.07,,confirmed
346,unique,KeyGraphite,187,2,-454.84,67.62,-573.10,,confirmed
95,unique,KeyGraphite,187,2,-451.53,62.90,-449.20,,confirmed
94,unique,KeyGraphite,187,2,-447.32,75.91,-144.37,,confirmed
96,unique,KeyGraphite,187,1,-428.06,118.90,625.77,,confirmed
97,unique,KeyGraphite,187,1,-427.64,83.86,7.27,,confirmed
348,unique,KeyGraphite,187,2,-421.88,120.33,112.68,,confirmed
99,unique,KeyGraphite,187,2,-402.00,156.32,223.73,,confirmed
349,unique,KeyGraphite,187,2,-383.03,51.31,827.64,,confirmed
350,unique,KeyGraphite,187,1,-380.98,71.26,691.60,,confirmed
100,unique,KeyGraphite,187,2,-367.56,99.32,-645.83,,confirmed
351,unique,KeyGraphite,187,2,-363.54,64.67,-241.79,,needs check
101,unique,KeyGraphite,187,1,-349.88,63.61,46.93,,confirmed
102,unique,KeyGraphite,187,1,-341.65,139.54,491.90,,confirmed
103,unique,KeyGraphite,187,2,-338.01,103.87,-513.39,,confirmed
352,unique,KeyGraphite,187,1,-304.50,60.77,-113.35,,needs check
104,unique,KeyGraphite,187,2,-295.07,85.70,-675.11,,confirmed
105,unique,KeyGraphite,187,2,-294.97,26.03,810.26,,confirmed
106,unique,KeyGraphite,187,2,-285.96,77.34,109.25,,confirmed
107,unique,KeyGraphite,187,1,-266.41,82.71,263.77,,confirmed
353,unique,KeyGraphite,187,1,-258.16,74.80,-782.31,,needs check
354,unique,KeyGraphite,187,1,-237.43,115.83,409.55,,confirmed
108,unique,KeyGraphite,187,2,-225.73,74.81,-211.20,,confirmed
213,unique,KeyGraphite,187,2,-213.26,72.43,-117.57,,confirmed
109,unique,KeyGraphite,187,2,-212.07,95.92,614.18,,confirmed
110,unique,KeyGraphite,187,1,-190.71,36.86,-503.84,,confirmed
111,unique,KeyGraphite,187,1,-187.57,56.55,-434.58,,confirmed
112,unique,KeyGraphite,187,2,-181.66,63.90,21.84,,confirmed
114,unique,KeyGraphite,187,2,-160.96,66.41,601.41,,confirmed
113,unique,KeyGraphite,187,2,-158.86,66.31,-230.31,,confirmed
355,unique,KeyGraphite,187,2,-134.17,67.20,663.29,,confirmed
115,unique,KeyGraphite,187,2,-131.40,116.55,473.16,,confirmed
116,unique,KeyGraphite,187,2,-125.54,44.30,-546.02,,confirmed
117,unique,KeyGraphite,187,1,-115.28,131.86,255.74,,confirmed
356,unique,KeyGraphite,187,2,-102.41,102.02,457.57,,confirmed
357,unique,KeyGraphite,187,2,-100.53,90.14,552.48,,confirmed
185,unique,KeyGraphite,187,1,-83.18,45.52,741.15,,confirmed
