id,type,item,item_id,amount,x,y,z,area,state
187,food,Mudbeet,66,4,26.10,32.84,689.48,,confirmed
664,food,Mudbeet,66,2,36.82,38.40,457.70,,needs check
258,food,Mudbeet,66,4,72.55,32.66,728.43,,confirmed
666,food,Mudbeet,66,4,128.93,33.60,365.82,,needs check
260,food,Mudbeet,66,4,176.82,29.86,720.59,,confirmed
175,food,Mudbeet,66,4,189.73,35.06,476.35,,confirmed
667,food,Mudbeet,66,6,190.56,35.50,237.73,,needs check
255,food,Mudbeet,66,2,230.97,38.21,174.34,,confirmed
663,food,Mudbeet,66,2,266.85,47.51,104.21,,needs check
266,food,Mudbeet,66,4,390.38,35.89,452.78,,confirmed
167,food,Mudbeet,66,2,547.85,37.35,390.29,,confirmed
665,food,Mudbeet,66,2,556.99,33.75,539.84,,confirmed
165,food,Mudbeet,66,6,618.71,34.35,361.41,,confirmed
