id,type,item,item_id,amount,x,y,z,area,state
6,food,Obergine,68,6,-7.49,37.51,590.97,,confirmed
186,food,Obergine,68,4,21.27,27.86,756.50,,confirmed
259,food,Obergine,68,2,74.50,31.95,746.95,,confirmed
675,food,Obergine,68,2,117.02,36.08,303.51,,needs check
261,food,Obergine,68,4,189.08,34.76,569.34,,confirmed
678,food,Obergine,68,4,193.54,34.76,516.61,,needs check
676,food,Obergine,68,2,234.39,34.57,321.87,,needs check
677,food,Obergine,68,2,271.48,41.05,145.69,,needs check
680,food,Obergine,68,6,302.19,35.43,385.83,,needs check
679,food,Obergine,68,4,302.49,34.28,260.47,,needs check
174,food,Obergine,68,4,394.77,33.72,585.81,,confirmed
172,food,Obergine,68,2,536.07,30.22,591.32,,confirmed
268,food,Obergine,68,4,571.25,40.06,425.13,,confirmed
267,food,Obergine,68,4,581.05,35.68,513.40,,confirmed
