id,type,item,item_id,amount,x,y,z,area,state
502,material,Wood,14,2,-817.78,78.24,-115.35,,confirmed
501,material,Wood,14,2,-728.09,82.70,-88.87,,confirmed
499,material,Wood,14,2,-699.14,65.43,-481.80,,needs check
498,material,Wood,14,6,-686.08,61.34,-558.05,,needs check
387,material,Wood,14,2,-612.70,60.35,619.00,,confirmed
383,material,Wood,14,2,-594.34,56.52,643.52,,confirmed
384,material,Wood,14,2,-589.08,60.72,626.48,,confirmed
497,material,Wood,14,2,-512.53,62.91,-497.13,,needs check
411,material,Wood,14,4,-504.94,99.83,103.01,,confirmed
496,material,Wood,14,4,-484.71,55.97,-732.87,,needs check
495,material,Wood,14,2,-452.06,59.52,-638.05,,needs check
494,material,Wood,14,4,-435.67,64.81,-260.00,,needs check
200,material,Wood,14,6,-391.44,76.68,-398.78,,confirmed
493,material,Wood,14,4,-388.97,59.98,-339.72,,needs check
214,material,Wood,14,8,-345.06,65.77,-151.06,,confirmed
215,material,Wood,14,4,-330.25,66.29,-142.54,,confirmed
492,material,Wood,14,6,-325.82,89.26,-670.09,,needs check
491,material,Wood,14,4,-314.26,74.99,-255.07,,needs check
401,material,Wood,14,4,-311.47,119.21,389.17,,confirmed
490,material,Wood,14,2,-257.51,92.95,502.79,,confirmed
489,material,Wood,14,2,-257.33,66.96,183.76,,needs check
203,material,Wood,14,2,-235.60,58.99,-328.68,,confirmed
298,material,Wood,14,4,-210.61,68.95,-445.02,,confirmed
207,material,Wood,14,4,-201.39,59.29,-358.95,,confirmed
297,material,Wood,14,4,-201.07,68.43,-451.20,,confirmed
488,material,Wood,14,6,-197.51,73.78,-269.51,,needs check
487,material,Wood,14,2,-176.12,63.24,-85.08,,needs check
486,material,Wood,14,4,-168.99,53.48,723.43,,confirmed
301,material,Wood,14,2,-163.03,63.41,-144.20,,confirmed
209,material,Wood,14,4,-150.17,59.10,-240.93,,confirmed
485,material,Wood,14,2,-149.99,61.68,-138.82,,needs check
212,material,Wood,14,2,-147.01,63.91,-59.98,,confirmed
484,material,Wood,14,6,-140.67,67.94,-461.64,,needs check
500,material,Wood,14,4,-71.00,60.99,-169.67,,needs check
483,material,Wood,14,4,-11.25,63.15,-210.61,,needs check
180,material,Wood,14,2,22.94,35.41,568.09,,confirmed
510,material,Wood,14,4,54.65,61.29,232.41,,needs check
515,material,Wood,14,6,94.94,35.22,463.05,,needs check
503,material,Wood,14,2,137.05,60.32,170.89,,needs check
504,material,Wood,14,4,145.00,73.21,-216.43,,needs check
505,material,Wood,14,4,146.23,61.61,19.43,,needs check
178,material,Wood,14,2,151.00,35.92,618.71,,confirmed
217,material,Wood,14,2,185.78,63.26,-107.81,,confirmed
257,material,Wood,14,4,206.94,37.33,206.28,,confirmed
506,material,Wood,14,4,223.30,35.49,274.24,,needs check
265,material,Wood,14,4,249.88,42.24,481.49,,confirmed
507,material,Wood,14,2,287.00,47.91,-90.68,,needs check
508,material,Wood,14,4,429.45,60.00,-71.47,,needs check
509,material,Wood,14,4,530.61,51.34,-75.60,,needs check
511,material,Wood,14,4,551.25,76.87,175.53,,needs check
238,material,Wood,14,2,602.71,30.60,-543.28,,confirmed
163,material,Wood,14,4,614.06,37.34,490.75,,confirmed
512,material,Wood,14,2,654.07,54.72,-225.28,,needs check
513,material,Wood,14,2,673.14,71.98,14.05,,needs check
242,material,Wood,14,2,754.24,28.27,-356.50,,confirmed
514,material,Wood,14,2,767.92,25.36,-249.22,,needs check
