id,type,item,item_id,amount,x,y,z,area,state
new,spawn,Alpafant,,,-778.184,85.6964,-55.8367,,needs check
new,spawn,Alpafant,,,-723.647,61.5713,-642.403,,needs check
new,spawn,Alpafant,,,-578.707,95.5069,-193.727,,needs check
new,spawn,Alpafant,,,-466.3,66.0381,-202.37,,needs check
new,spawn,Alpafant,,,-378.91,108.79,-551.74,,needs check
new,spawn,Alpafant,,,-364.89,75.3,-211.36,,needs check
new,spawn,Alpafant,,,-193.623,77.8081,-214.948,,needs check
new,spawn,Alpafant,,,-120.67,61.279,-133.78,,needs check
new,spawn,Alpafant,,,-29.7769,44.9669,702.093,,needs check
new,spawn,Alpafant,,,177.66,34.16,696.24,,needs check
new,spawn,Alpafant,,,187,36.09,694.13,,needs check
new,spawn,Alpafant,,,278.3,62.3,-237.5,,needs check
new,spawn,Alpafant,,,364.011,74.4035,175.567,,needs check
new,spawn,Alpafant,,,444.1,34.5,523.8,,needs check
new,spawn,Alpafant,,,462.6,28.6,-449.4,,needs check
new,spawn,Alpafant,,,494.721,52.851,-160.673,,needs check
