id,type,item,item_id,amount,x,y,z,area,state
27,unique,Amphiscis_Orb,296,,-903.907,49.5042,-66.5322,,confirmed
28,unique,Amphiscis_Orb,296,,-888.254,25.4832,254.468,,confirmed
29,unique,Amphiscis_Orb,296,,-826.453,57.3172,-512.519,,confirmed
30,unique,Amphiscis_Orb,296,,-813.878,41.3762,-852.093,,confirmed
31,unique,Amphiscis_Orb,296,,-800.007,26.14,562.726,,confirmed
32,unique,Amphiscis_Orb,296,,-792.466,64.2432,143.606,,confirmed
33,unique,Amphiscis_Orb,296,,-784.996,84.1812,11.9408,,confirmed
34,unique,Amphiscis_Orb,296,,-698.784,26.1322,-848.656,,confirmed
35,unique,Amphiscis_Orb,296,,-655.274,146.947,481.284,,moved
36,unique,Amphiscis_Orb,296,,-649.33,65.39,-603.76,,removed
new,unique,Amphiscis_Orb,296,,-641.874,71.8522,-710.176,,added
37,unique,Amphiscis_Orb,296,,-576.107,60.7552,602.558,,confirmed
38,unique,Amphiscis_Orb,296,,-568.332,103.39,-125.467,,confirmed
40,unique,Amphiscis_Orb,296,,-520.58,141.942,138.2,,confirmed
41,unique,Amphiscis_Orb,296,,-515.538,69.2622,-375.101,,moved
39,unique,Amphiscis_Orb,296,,-514.544,243.322,301.504,,moved
42,unique,Amphiscis_Orb,296,,-506.057,102.55,15.8678,,confirmed
43,unique,Amphiscis_Orb,296,,-495.307,55.9942,-707.102,,confirmed
44,unique,Amphiscis_Orb,296,,-482.937,186.044,422.336,,confirmed
45,unique,Amphiscis_Orb,296,,-462.751,73.8112,-472.107,,confirmed
new,unique,Amphiscis_Orb,296,,-436.08,37.12,449.49,CoastalTunnel,added
new,unique,Amphiscis_Orb,296,,-409.763,89.7852,373.309,CoastalTunnel,added
46,unique,Amphiscis_Orb,296,,-372.227,51.9162,814.078,,confirmed
47,unique,Amphiscis_Orb,296,,-368.086,101.496,145.82,,moved
48,unique,Amphiscis_Orb,296,,-357.631,75.2862,-208.456,,confirmed
