id,type,item,item_id,amount,x,y,z,area,state
new,spawn,Bleeker,,,-775.36,85.6915,-56.1379,,needs check
new,spawn,Bleeker,,,-773.45,76.1715,-503.818,,needs check
new,spawn,Bleeker,,,-736.137,88.1713,-152.663,,needs check
new,spawn,Bleeker,,,-730.5,88.1615,-153.068,,needs check
new,spawn,Bleeker,,,-720.64,61.5015,-646.918,,needs check
new,spawn,Bleeker,,,-657.83,114.061,-150.018,,needs check
new,spawn,Bleeker,,,-617.8,115.851,-323.598,,needs check
new,spawn,Bleeker,,,-579.59,95.3515,-186.568,,needs check
new,spawn,Bleeker,,,-462.16,65.4815,-205.918,,needs check
new,spawn,Bleeker,,,-442.38,92.6015,-91.0379,,needs check
new,spawn,Bleeker,,,-421.38,72.9315,-439.518,,needs check
new,spawn,Bleeker,,,-382.99,52.4215,806.652,,needs check
new,spawn,Bleeker,,,-380.86,107.881,-548.058,,needs check
new,spawn,Bleeker,,,-378.23,52.45,813.75,,needs check
new,spawn,Bleeker,,,-360.98,75.2615,-205.978,,needs check
new,spawn,Bleeker,,,-273.97,118.611,428.002,,needs check
new,spawn,Bleeker,,,-192.21,77.1715,-223.628,,needs check
new,spawn,Bleeker,,,-174.09,26.6215,826.462,,needs check
new,spawn,Bleeker,,,-157.89,66.4715,97.4921,,needs check
new,spawn,Bleeker,,,-117.02,61.3615,-130.268,,needs check
new,spawn,Bleeker,,,-49.6669,65.5469,54.0427,,needs check
new,spawn,Bleeker,,,-48.7101,65.6115,44.9921,,needs check
new,spawn,Bleeker,,,-35.9201,50.0015,684.192,,needs check
new,spawn,Bleeker,,,-15.4601,69.8815,289.712,,needs check
new,spawn,Bleeker,,,23.9099,63.0815,-142.718,,needs check
new,spawn,Bleeker,,,66.2599,35.0415,518.352,,needs check
new,spawn,Bleeker,,,92.5099,30.5915,750.212,,needs check
new,spawn,Bleeker,,,130.76,36.8615,661.372,,needs check
new,spawn,Bleeker,,,133.22,37.3,657.75,,needs check
new,spawn,Bleeker,,,184.63,36.09,342.18,,needs check
new,spawn,Bleeker,,,188.58,35.7615,337.262,,needs check
new,spawn,Bleeker,,,273.26,61.6715,-241.108,,needs check
new,spawn,Bleeker,,,328.473,85.2769,70.2627,,needs check
new,spawn,Bleeker,,,328.31,84.6815,74.3021,,needs check
new,spawn,Bleeker,,,365.68,73.9915,181.902,,needs check
new,spawn,Bleeker,,,401.133,56.4769,165.923,,needs check
new,spawn,Bleeker,,,418.24,32.39,659.34,,needs check
new,spawn,Bleeker,,,420.6,31.9915,651.932,,needs check
new,spawn,Bleeker,,,435.57,34.8215,519.332,,needs check
new,spawn,Bleeker,,,456.49,28.4715,-449.908,,needs check
new,spawn,Bleeker,,,498.78,52.6315,-159.248,,needs check
new,spawn,Bleeker,,,600.7,42.18,449.22,,needs check
new,spawn,Bleeker,,,600.87,42.0415,453.212,,needs check
new,spawn,Bleeker,,,622.603,33.9769,-243.947,,needs check
new,spawn,Bleeker,,,625.72,34.5215,-244.668,,needs check
