id,type,item,item_id,amount,x,y,z,area,state
993,unique,Chest,,,-802.885,62.4656,-483.082,,needs check
994,unique,Chest,,,-674.151,147.932,449.85,,needs check
995,unique,Chest,,,-636.5,195.317,280.5,,needs check
380,unique,Chest,,,-531.52,58.76,592.6,,needs check
8,unique,Chest,,,-366.974,77.5838,-126.867,,needs check
996,unique,Chest,,,-274.85,119.41,456.8,,needs check
9,unique,Chest,,,-222.69,62.3368,-293.62,,needs check
10,unique,Chest,,,-187.077,25.1542,-840.173,,confirmed
11,unique,Chest,,,-135.37,75.3068,-190.29,,needs check
997,unique,Chest,,,163.618,68.5368,326.599,,needs check
998,unique,Chest,,,276.75,32.1856,744.78,,needs check
13,unique,Chest,,,314.181,86.3538,49.4153,,needs check
999,unique,Chest,,,389.955,107.817,-239.521,,needs check
1000,unique,Chest,,,484.69,31.1236,166.13,,needs check
1001,unique,Chest,,,619.14,31.4668,-486.93,,confirmed
1002,unique,Chest,,,722.99,80.5802,184.422,,needs check
