id,type,item,item_id,amount,x,y,z,area,state
516,material,DryClay,78,1,-98.4688,25.7619,-546.455,,needs check / amount
517,material,DryClay,78,1,252.9,66.81,-191.72,,needs check / amount
518,material,DryClay,78,2,317.61,52.18,-327.46,,needs check / amount
519,material,DryClay,78,2,351.49,65.6,-189.62,,needs check / amount
253,material,DryClay,78,2,373.74,80.13,0.06,,amount
520,material,DryClay,78,1,376.118,50.4462,-96.0593,,needs check / amount
521,material,DryClay,78,2,493.53,33.98,-367.85,,needs check / amount
522,material,DryClay,78,2,539.33,51.46,-159.39,,needs check / amount
523,material,DryClay,78,2,559.54,54.84,-54.1,,needs check / amount
245,material,DryClay,78,2,567.95,33.99,-336.34,,amount
524,material,DryClay,78,2,578.03,82.14,93.83,,needs check / amount
525,material,DryClay,78,1,586.56,27.83,-625.58,,needs check / amount
226,material,DryClay,78,2,633.46,27.5,-723.65,,amount
526,material,DryClay,78,2,663.54,75.26,41.2,,needs check / amount
527,material,DryClay,78,2,669.26,33.35,-292.69,,needs check / amount
528,material,DryClay,78,2,718.28,28.02,-491.45,,needs check / amount
160,material,DryClay,78,1,723.94,78.38,138.87,,amount
