id,type,item,item_id,amount,x,y,z,area,state
949,spawn,Puffle,,,-777.89,75.84,-506.59,,needs check
950,spawn,Puffle,,,-661.684,113.926,-149.737,,needs check
951,spawn,Puffle,,,-621.83,116.6,-325.84,,needs check
952,spawn,Puffle,,,-451.527,140.717,544.863,,needs check
953,spawn,Puffle,,,-440.578,92.4335,-94.6533,,needs check
954,spawn,Puffle,,,-426.338,73.5635,-443.703,,needs check
955,spawn,Puffle,,,-269.78,118.868,434.69,,needs check
956,spawn,Puffle,,,-173.7,26.6,830.1,,needs check
957,spawn,Puffle,,,-151.477,66.9169,101.123,,needs check
958,spawn,Puffle,,,-120.357,71.3713,-423.693,,needs check
959,spawn,Puffle,,,-17.37,69.418,294.41,,needs check
960,spawn,Puffle,,,28.8365,64.3049,-140.911,,needs check
961,spawn,Puffle,,,61.85,35.11,519.63,,needs check
962,spawn,Puffle,,,96.04,30.04,749.39,,needs check
963,spawn,Puffle,,,150.23,37.32,332.5,,needs check
964,spawn,Puffle,,,202.07,33.08,706.89,,needs check
965,spawn,Puffle,,,206.05,34.02,697.07,,needs check
