id;item;x;y;z
-1630344218985776128;bleekernest;-745,13446;88,5355911;-146,983566
4563940556382041154;bleekernest;-734,194641;88,4094543;-157,767105
-5628131271726552627;bleekernest;-499,792999;91,5492401;275,996979
6255857681673580423;bleekernest;-495,440002;91,5492401;278,809998
-1785744762669365035;bleekernest;-488,910004;-7,71000004;185,529999
-2363326860002898704;bleekernest;-481,660004;-7,64999962;186,860001
4504583593862920928;bleekernest;-443,488434;93,1934357;-99,5636292
-6474734177761737974;bleekernest;-436,579987;91,2600021;-90,6300049
7071714398331707719;bleekernest;-417,969971;34,4300003;482,209991
7185707649146043921;bleekernest;-388,04657;51,7094269;816,134155
7332476767660553082;bleekernest;-381,216248;52,3346825;820,032959
8539702083164564936;bleekernest;-372,033447;52,0424957;809,591187
2337726523390367144;bleekernest;-370,858765;51,6524963;818,048828
4701004790435315069;bleekernest;-361,774567;50,4547997;-533,150635
5257277703897076801;bleekernest;-57,4801559;44,8286057;-335,881897
-3431559710016969028;bleekernest;-53,0031128;65,8777695;61,3598633
5924328552556392258;bleekernest;-52,8101578;44,8240852;-343,871887
6879863733803732864;bleekernest;-42,9395752;67,0170975;49,6967163
2180940642533856544;bleekernest;114,162048;34,2191467;559,885742
-5019124980971215018;bleekernest;121,861328;35,2009506;574,958374
-3879518983012836995;bleekernest;127,833801;34,6956367;559,357178
-4006553554005981274;bleekernest;127,914795;34,8328667;567,906677
-6185310604725756316;bleekernest;134,312073;37,9997597;645,662231
6817570644775620524;bleekernest;140,141098;38,2910423;648,389038
-2561052481060560226;bleekernest;143,36647;37,2222137;663,078857
-1955640836534729019;bleekernest;176,906982;37,8231316;342,277374
-4023126196560301129;bleekernest;180,298981;37,3031311;344,805389
1366121075225051915;bleekernest;181,11145;36,3499985;352,355103
1907869508500628783;bleekernest;191,910004;34,5200005;351,050049
1272832338081285778;bleekernest;323,716003;86,3089981;57,7900085
-6871428043871692115;bleekernest;329,579956;85,8300018;57,7200012
8396456229670707172;bleekernest;337,040039;86,3089981;58,2799988
-3441535596027527135;bleekernest;338,535095;33,2426071;912,839722
-3441626722908501655;bleekernest;391,380005;56,7443428;165,649994
-4882935431369676274;bleekernest;407,527954;32,9828682;661,448242
369864893042191976;bleekernest;409,81897;32,8456383;669,685425
-5346001953504338443;bleekernest;409,829956;56,7999992;169,549988
7781176880476677998;bleekernest;411,550018;33,3509521;653,070068
1055129731418427999;bleekernest;422,888062;32,3691483;665,636353
9008453788072558415;bleekernest;427,036011;31,9871559;655,739502
-7052474291249615324;bleekernest;534,242859;34,3026047;817,096924
8230312741151091339;bleekernest;602,929993;41,7799988;442,590027
2949488303099083657;bleekernest;606,563171;34,8068619;-234,067261
-7934800722790220267;bleekernest;607,413147;33,97686;-252,267258
4722847491981658891;bleekernest;608,479492;42,1900749;444,542236
8387704005020334106;bleekernest;610,022827;42,1809349;450,218384
1392055076188289674;bleekernest;618,25415;34,766861;-237,095245
-7892180756522890066;bleekernest;619,203186;33,47686;-251,557251
