id;item;x;y;z
579165127798875978;morrowhay;-627,038635;61,4489899;-595,925171
2981709899830881369;morrowhay;-496,070007;53,9300003;701,609985
-5524357630532149806;morrowhay;-478,209991;109,139999;-117,5
-8744980022113411717;morrowhay;-436,690002;61,3800011;-406,410004
-5356315576481818765;morrowhay;-432,829987;64,5800018;-185,289993
-1555392242676872134;morrowhay;-336,540009;75,3499985;-276,48999
-2413802810462139495;morrowhay;-290,303101;61,1053162;-627,435669
4717822424326554719;morrowhay;-261,839996;53,4900017;720,669983
-792371417540516185;morrowhay;-49,1572266;62,9725838;-99,264389
-691396643208451312;morrowhay;45,1511536;65,019455;-27,5978985
9105426556665083447;morrowhay;52,8651123;59,7492409;265,2052
4103782449849919225;morrowhay;123,97715;63,9747887;-21,2138252
