id;item;x;y;z
7894309064421665857;sandstone;-183,880005;25,2900009;-561,609985
-8205003777448673503;sandstone;220,630005;50,4099998;-84,8799973
8051747621236153319;sandstone;290,660004;54,7200012;-36,1199989
7152061573845442452;sandstone;433,899994;60,9199982;-55,4900017
1263219778262075311;sandstone;457,01001;77,2900009;268,140015
-1360217332993312349;sandstone;465,970001;53,2599983;-156,990005
-61363877061022720;sandstone;544,210022;29,8199997;-403,100006
-3958188757956621172;sandstone;582,01001;34,0600014;-321,709991
5564980095812095027;sandstone;625,56189;30,3083229;-464,932739
-902465547013914400;sandstone;633,090027;54,5800018;-220,669998
240537673479177768;sandstone;640,859985;30,2399998;-516,299988
-644425830495641258;sandstone;653,289978;77,7699966;159,860001
9190345115179751693;sandstone;829,320007;55,5699997;291,890015
