id;item;x;y;z
-3112469330724178715;toothstone;9,18999958;39,4199982;508,200012
8843143878621383693;toothstone;141,828247;36,4562836;430,651733
2439217130570416877;toothstone;152,553833;36,381916;259,877197
-2967470190719258371;toothstone;183,309998;34,1899986;382,570007
-6310400040339249064;toothstone;213,339996;34,75;566,200012
-2433680162631632275;toothstone;217,587646;37,9760628;185,575806
9049642416380764093;toothstone;236,380005;38,0999985;416,269989
6485638382054984203;toothstone;248,266968;40,9929047;526,151611
-1040240048112312916;toothstone;276,200012;37,2700005;259,450012
5138481416329705113;toothstone;279,215698;35,7623405;187,926636
-7682121208907804388;toothstone;304,940002;35,4399986;645
2008312866905190514;toothstone;323,309998;37,5400009;565,780029
-3040450339923010246;toothstone;376,640015;36,7999992;539,530029
-2953912941916465137;toothstone;451,709991;35,1800003;495,329987
-7507197295192322517;toothstone;620,590027;41,0400009;453,640015
