id;item;x;y;z
-7699986643610083555;wood;-817,780029;78,2399979;-115,349998
5804739480957495394;wood;-728,090027;82,7030029;-88,8669968
-4199857053112848690;wood;-699,140015;65,4300003;-481,799988
-3284037677556304873;wood;-686,080017;61,3400002;-558,049988
7354526967267078524;wood;-612,695068;60,3521919;618,998169
6466448353763976532;wood;-594,340027;56,5200005;643,52002
-5929570109867372218;wood;-589,080017;60,7200012;626,47998
4488258129256508900;wood;-512,530029;62,9099998;-497,130005
2488735872426989038;wood;-504,940002;99,8300018;103,010002
956235629414641758;wood;-484,708374;55,9725113;-732,87439
2078645421386000942;wood;-452,059998;59,5200005;-638,049988
-4628875418098590602;wood;-435,670013;64,8099976;-260
1784600549951298148;wood;-391,440002;76,6800003;-398,779999
8143081011707838795;wood;-388,970001;59,9799995;-339,720001
679839220486862791;wood;-345,059998;65,7699966;-151,059998
-4861720364898336315;wood;-330,252014;66,2929993;-142,544006
-1122708851375814002;wood;-325,820007;89,2600021;-670,090027
2002306639049988449;wood;-314,259521;74,9872818;-255,070496
234013756285049181;wood;-311,468811;119,209053;389,172119
-422022520531510593;wood;-257,513611;92,954567;502,793335
-656334343423178174;wood;-257,329987;66,9599991;183,759995
-5381006492708747039;wood;-235,595215;58,9887085;-328,680969
8459328007791114650;wood;-210,610001;68,9499969;-445,019989
-2257164062317284212;wood;-201,389999;59,2900009;-358,950012
-6655589383752631016;wood;-201,070007;68,4300003;-451,200012
-281436635267205763;wood;-197,509995;73,7799988;-269,51001
3475900100678770875;wood;-176,116699;63,2393646;-85,0836792
8598280584788561790;wood;-168,990005;53,4799995;723,429993
8336913492952711772;wood;-163,028809;63,4055748;-144,202637
3841723649812855852;wood;-150,168884;59,0953331;-240,92865
-5339738965688602400;wood;-149,985168;61,6810074;-138,815918
5967559883986477595;wood;-147,011169;63,9126167;-59,9828491
-847394630337386468;wood;-140,669998;67,9400024;-461,640015
-690205902367678643;wood;-71,0042725;60,9910736;-169,66571
8972276897135628978;wood;-11,2490234;63,1501465;-210,606323
-4445338692929637213;wood;22,9400005;35,4099998;568,090027
968103445893710197;wood;54,6530762;61,2873917;232,409058
4507859105530779527;wood;94,9400024;35,2200012;463,049988
4992526309404269639;wood;137,045776;60,3173599;170,891235
-6168634301274850136;wood;144,996094;73,2092896;-216,433044
-3175657901501953308;wood;146,229996;61,6100006;19,4300003
-6755010888751394862;wood;151;35,9199982;618,710022
1876193006701952856;wood;185,779999;63,2599983;-107,809998
3405609808399255455;wood;206,940002;37,3300018;206,279999
-6096360280466331647;wood;223,300003;35,4900017;274,23999
3828912504385971783;wood;249,884399;42,2401772;481,493286
147926774343605636;wood;287;47,9099998;-90,6800003
-8266087331452728698;wood;429,450012;60;-71,4700012
-6368911538372456214;wood;530,612793;51,3357277;-75,6036987
-3139458312814768944;wood;551,25;76,8700027;175,529999
-1118184756526553120;wood;602,710022;30,6000004;-543,280029
6884037648555499936;wood;614,059998;37,3400002;490,75
2014594778033449388;wood;654,070007;54,7200012;-225,279999
113714676907082540;wood;673,140015;71,9800034;14,0500002
1448045705103422010;wood;754,23999;28,2700005;-356,5
9186463257806437078;wood;767,919983;25,3600006;-249,220001
