type,item,item_id,amount,x,y,z,area
food,AnuraShroom,67,2,-157.82,26.63,777.6,
food,AnuraShroom,67,2,37.2439,38.3754,456.862,
food,AnuraShroom,67,1,80.7961,34.0377,620.036,
food,AnuraShroom,67,3,98.8989,34.6735,356.612,
food,AnuraShroom,67,2,120.01,35.1788,422.016,
food,AnuraShroom,67,3,174.696,35.686,684.703,
food,AnuraShroom,67,1,189.65,35.0565,470.815,
food,AnuraShroom,67,1,190.241,34.7615,569.426,
food,AnuraShroom,67,1,233.724,34.5697,321.252,
food,AnuraShroom,67,1,254.828,34.2826,375.176,
food,AnuraShroom,67,2,266.95,47.5015,104.351,
food,AnuraShroom,67,1,318.958,36.5748,240.612,
food,AnuraShroom,67,1,536.52,30.15,590.74,
food,AnuraShroom,67,1,559.55,31.3776,559.282,
food,AnuraShroom,67,2,562.617,40.5943,408.334,
food,AnuraShroom,67,1,572.809,40.2274,425.634,
