type,item,item_id,amount,x,y,z,area
material,Bone,22,1,-736.02,88.1754,-142.5,
material,Bone,22,1,-726.01,61.47,-639.1,
material,Bone,22,1,-441.63,92.45,-90.51,
material,Bone,22,1,-380.85,52.33,806.39,
material,Bone,22,1,-193.3,77.38,-222.26,
material,Bone,22,2,185.701,36.4361,333.837,
material,Bone,22,2,274.018,61.6182,-242.854,
material,Bone,22,1,329.746,85.2594,71.4044,
material,Bone,22,1,365.384,74.0114,178.995,
material,Bone,22,1,441.692,34.4812,521.373,
material,Bone,22,1,448.754,29.0044,-453.047,
material,Bone,22,1,596.68,42.1678,446.649,
material,Bone,22,1,615.033,33.7221,-246.565,
