type,item,item_id,amount,x,y,z,area
material,Dullrock,19,2,-797.283,57.235,-677.331,
material,Dullrock,19,2,-772.82,98.02,-263.62,
material,Dullrock,19,2,-693.89,90.09,-121.6,
material,Dullrock,19,6,-564.26,59.78,-585.39,
material,Dullrock,19,2,-533.188,53.393,695.661,
material,Dullrock,19,2,-482.57,56.27,-585.53,
material,Dullrock,19,2,-438.793,66.5233,701.617,
material,Dullrock,19,4,-376.09,80.88,-451.57,
material,Dullrock,19,2,-366.18,54.82,749.98,
material,Dullrock,19,4,-346.348,61.4105,-358.112,
material,Dullrock,19,6,-314.91,44.63,-773.24,
material,Dullrock,19,2,-294.828,82.2562,269.898,
material,Dullrock,19,6,-281.54,64.24,-506.42,
material,Dullrock,19,4,-204.65,65.85,-171.64,
material,Dullrock,19,4,-185,58.94,-349.54,
material,Dullrock,19,4,-106.2,61.7055,-183.208,
material,Dullrock,19,2,-70.07,45.54,647.45,
material,Dullrock,19,2,-45.3199,64.7435,-6.86511,
material,Dullrock,19,4,-38.3803,63.4356,501.7,
material,Dullrock,19,4,-30.8758,92.473,211.9,
material,Dullrock,19,2,-13.9238,61.9592,-149.042,
material,Dullrock,19,4,-13.35,62.89,14.59,
material,Dullrock,19,2,75.2467,68.9564,-193.458,
material,Dullrock,19,4,119.41,34.58,488.49,
material,Dullrock,19,2,138.92,67.69,-279.12,
material,Dullrock,19,4,249.95,39.52,433.73,
material,Dullrock,19,2,285.1,63.08,26.84,
material,Dullrock,19,2,308.58,37.13,363.02,
material,Dullrock,19,4,348.79,51.4,-162.08,
material,Dullrock,19,4,400.62,59.66,-201.69,
material,Dullrock,19,4,402.817,78.4442,226.391,
material,Dullrock,19,2,419.37,29.19,-393.98,
material,Dullrock,19,4,626.25,64.63,-29.54,
material,Dullrock,19,2,631.46,32.24,-626.11,
material,Dullrock,19,2,670.52,32.73,-313.65,
material,Dullrock,19,2,720.21,80.46,226.83,
