type,item,item_id,amount,x,y,z,area
food,DuneRice,59,3,-718.84,25.95,622.78,
food,DuneRice,59,3,-559.717,28.2323,-802.041,
food,DuneRice,59,3,-198.495,25.9914,-588.603,
food,DuneRice,59,3,158.347,67.048,-100.161,
food,DuneRice,59,3,243.641,64.7791,-214.691,
food,DuneRice,59,3,254.855,49.8105,-24.9459,
food,DuneRice,59,2,369.22,83.5275,42.1372,
food,DuneRice,59,2,410.524,82.7667,65.8151,
food,DuneRice,59,4,425.3,29.28,-483.89,
food,DuneRice,59,3,444.982,77.7413,238.101,
food,DuneRice,59,3,524.649,49.5188,-139.588,
food,DuneRice,59,3,568.41,46.5866,-91.5068,
food,DuneRice,59,2,579.036,33.3902,-258.107,
food,DuneRice,59,2,605.664,34.7949,-276.176,
food,DuneRice,59,4,606.055,82.7154,17.1677,
food,DuneRice,59,3,691.597,31.382,-589.58,
food,DuneRice,59,3,700.025,77.2079,154.332,
food,DuneRice,59,3,710.009,26.7633,-522.669,
food,DuneRice,59,3,713.842,33.7518,-796.204,
food,DuneRice,59,3,730.28,29.4764,-566.098,
food,DuneRice,59,4,763.613,26.2359,-348.634,
