type,item,item_id,amount,x,y,z,area
material,MorrowHay,77,2,-627.039,61.449,-595.925,
material,MorrowHay,77,2,-496.07,53.93,701.61,
material,MorrowHay,77,2,-478.21,109.14,-117.5,
material,MorrowHay,77,3,-436.69,61.38,-406.41,
material,MorrowHay,77,3,-432.83,64.58,-185.29,
material,MorrowHay,77,1,-336.54,75.35,-276.49,
material,MorrowHay,77,2,-290.303,61.1053,-627.436,
material,MorrowHay,77,3,-261.84,51.5806,720.67,
material,MorrowHay,77,2,-49.1572,62.9726,-99.2644,
material,MorrowHay,77,2,45.1512,65.0195,-27.5979,
material,MorrowHay,77,2,52.8651,59.7492,265.205,
material,MorrowHay,77,1,123.977,63.9748,-21.2138,
