type,item,item_id,amount,x,y,z,area
food,Mudbeet,66,2,26.1024,32.8371,689.484,
food,Mudbeet,66,1,36.8201,38.3965,457.703,
food,Mudbeet,66,2,72.546,32.6575,728.431,
food,Mudbeet,66,2,128.93,33.6025,365.816,
food,Mudbeet,66,2,176.824,29.8645,720.591,
food,Mudbeet,66,2,189.728,35.0558,476.349,
food,Mudbeet,66,3,190.563,35.5016,237.728,
food,Mudbeet,66,1,230.974,38.208,174.338,
food,Mudbeet,66,1,266.847,47.507,104.205,
food,Mudbeet,66,2,390.38,35.89,452.78,
food,Mudbeet,66,1,547.85,37.3466,390.285,
food,Mudbeet,66,1,556.986,33.7482,539.835,
food,Mudbeet,66,3,618.71,34.35,361.41,
