type,item,item_id,amount,x,y,z,area
food,Obergine,68,3,-7.49,37.51,590.97,
food,Obergine,68,2,22.31,28.98,761.41,
food,Obergine,68,1,74.5007,31.9471,746.952,
food,Obergine,68,1,117.024,36.0808,303.507,
food,Obergine,68,2,189.081,34.7615,569.341,
food,Obergine,68,2,193.536,34.7615,516.614,
food,Obergine,68,1,234.387,34.5663,321.869,
food,Obergine,68,1,271.48,41.05,145.69,
food,Obergine,68,3,302.191,35.4311,385.826,
food,Obergine,68,2,394.772,33.7152,585.815,
food,Obergine,68,1,536.072,30.2172,591.323,
food,Obergine,68,2,571.254,40.0575,425.132,
food,Obergine,68,2,581.047,35.6783,513.403,
