type,item,item_id,amount,x,y,z,area
material,Solfodil,58,1,-798.42,96.69,-307.4,
material,Solfodil,58,1,-772.262,78.342,-106.681,
material,Solfodil,58,2,-765.196,79.3316,-109.292,
material,Solfodil,58,1,-719.65,111.89,38.46,
material,Solfodil,58,2,-706.234,109.214,-368.756,
material,Solfodil,58,1,-703.399,116.105,172.247,
material,Solfodil,58,3,-662.066,182.366,301.032,
material,Solfodil,58,1,-636.491,166.995,436.082,
material,Solfodil,58,1,-567.052,58.4568,633.504,
material,Solfodil,58,1,-563.191,53.566,774.841,
material,Solfodil,58,1,-425.11,54.62,733.89,
material,Solfodil,58,2,-369.45,143.96,419.733,
material,Solfodil,58,1,-311.99,72.42,-563.45,
material,Solfodil,58,2,-266.13,101.58,472.12,
material,Solfodil,58,2,-216.51,53.53,707.24,
material,Solfodil,58,1,-190.96,124.58,460.5,
material,Solfodil,58,1,10.941,55.082,430.963,
material,Solfodil,58,2,76.7786,61.209,222.653,
