type,item,item_id,amount,x,y,z,area
food,Tingflower,10,2,-840.768,64.1725,-315.505,
food,Tingflower,10,1,-764.08,80.1,-459.44,
food,Tingflower,10,2,-754.56,61.55,-556.15,
food,Tingflower,10,1,-703.776,109.225,-369.449,
food,Tingflower,10,2,-634.52,64.83,-661.06,
food,Tingflower,10,2,-564.42,99.87,-242.34,
food,Tingflower,10,3,-538.875,58.599,-721.677,
food,Tingflower,10,2,-514.88,58.63,-652.31,
food,Tingflower,10,2,-475.67,59.8,-430.09,
food,Tingflower,10,2,-457.36,64.48,-237.76,
food,Tingflower,10,2,-437.05,61.38,-407.3,
food,Tingflower,10,2,-427.61,60.82,-370.34,
food,Tingflower,10,3,-418.18,78.7,-605.78,
food,Tingflower,10,3,-381.518,66.147,-166.011,
food,Tingflower,10,2,-252.153,60.9863,-644.696,
food,Tingflower,10,2,-145.42,68.28,-449.74,
food,Tingflower,10,2,-123.598,63.6377,589.114,
food,Tingflower,10,1,-72.58,64.82,4.48,
