type,item,item_id,amount,x,y,z,area
material,Toothstone,55,3,9.19,39.42,508.2,
material,Toothstone,55,1,141.828,36.4563,430.652,
material,Toothstone,55,1,152.554,36.3819,259.877,
material,Toothstone,55,1,183.31,34.19,382.57,
material,Toothstone,55,2,213.34,34.75,566.2,
material,Toothstone,55,1,217.588,37.9761,185.576,
material,Toothstone,55,2,236.38,38.1,416.27,
material,Toothstone,55,3,248.267,40.9929,526.152,
material,Toothstone,55,1,276.2,37.27,259.45,
material,Toothstone,55,1,279.216,35.7623,187.927,
material,Toothstone,55,1,304.94,35.44,645,
material,Toothstone,55,1,323.31,37.54,565.78,
material,Toothstone,55,1,376.64,36.8,539.53,
material,Toothstone,55,2,451.71,35.18,495.33,
material,Toothstone,55,1,620.59,41.04,453.64,
