type,item,item_id,amount,x,y,z,area
food,Wheat,11,2,-806.377,87.1941,-191.922,
food,Wheat,11,2,-764.247,80.021,-458.521,
food,Wheat,11,2,-726.732,62.439,-529.082,
food,Wheat,11,4,-713.25,59.75,-597.23,
food,Wheat,11,2,-607.548,58.508,-716.871,
food,Wheat,11,2,-606.753,60.9787,-655.649,
food,Wheat,11,2,-533.586,58.9218,-678.39,
food,Wheat,11,3,-513.997,79.4319,-199.512,
food,Wheat,11,2,-483.41,56.01,-683.1,
food,Wheat,11,2,-453.295,56.5118,-771.079,
food,Wheat,11,2,-404.636,64.832,-238.981,
food,Wheat,11,4,-396.83,65.19,-283,
food,Wheat,11,2,-268.734,71.7952,-688.937,
food,Wheat,11,2,-261.57,63.39,68.85,
food,Wheat,11,2,-57.88,60.62,-43.66,
