type,item,item_id,amount,x,y,z,area
spawn,Alpafant,,,-778.184,85.6964,-55.8367,
spawn,Alpafant,,,-723.647,61.5713,-642.403,
spawn,Alpafant,,,-578.707,95.5069,-193.727,
spawn,Alpafant,,,-466.3,66.0381,-202.37,
spawn,Alpafant,,,-378.91,108.79,-551.74,
spawn,Alpafant,,,-364.89,75.3,-211.36,
spawn,Alpafant,,,-193.623,77.8081,-214.948,
spawn,Alpafant,,,-120.67,61.279,-133.78,
spawn,Alpafant,,,-29.7769,44.9669,702.093,
spawn,Alpafant,,,177.66,34.16,696.24,
spawn,Alpafant,,,187,36.09,694.13,
spawn,Alpafant,,,278.3,62.3,-237.5,
spawn,Alpafant,,,364.011,74.4035,175.567,
spawn,Alpafant,,,444.1,34.5,523.8,
spawn,Alpafant,,,462.6,28.6,-449.4,
spawn,Alpafant,,,494.721,52.851,-160.673,
