type,item,item_id,amount,x,y,z,area
material,Alpafant_Leather,25,2,-773.14,85.69,-54.61,
material,Alpafant_Leather,25,1,-724.44,61.53,-637.04,
material,Alpafant_Leather,25,2,-578.624,94.9465,-190.128,
material,Alpafant_Leather,25,1,-463.878,65.5626,-205.558,
material,Alpafant_Leather,25,3,-379.07,108.347,-549.586,
material,Alpafant_Leather,25,2,-364.55,75.27,-207.82,
material,Alpafant_Leather,25,2,-191.5,77.31,-217.38,
material,Alpafant_Leather,25,2,-116.351,60.9939,-133.233,
material,Alpafant_Leather,25,2,-29.5536,49.3839,687.109,
material,Alpafant_Leather,25,1,364.05,73.89,179.3,
material,Alpafant_Leather,25,1,443.48,34.42,522.56,
material,Alpafant_Leather,25,1,447.06,29.12,-451.26,
material,Alpafant_Leather,25,2,498.804,52.4431,-165.352,
