type,item,item_id,amount,x,y,z,area
unique,Amphiscis_Orb,296,,-903.907,49.5042,-66.5322,
unique,Amphiscis_Orb,296,,-888.254,25.4832,254.468,
unique,Amphiscis_Orb,296,,-826.453,57.3172,-512.519,
unique,Amphiscis_Orb,296,,-813.878,41.3762,-852.093,
unique,Amphiscis_Orb,296,,-800.007,26.14,562.726,
unique,Amphiscis_Orb,296,,-792.466,64.2432,143.606,
unique,Amphiscis_Orb,296,,-784.996,84.1812,11.9408,
unique,Amphiscis_Orb,296,,-698.784,26.1322,-848.656,
unique,Amphiscis_Orb,296,,-655.274,146.947,481.284,
unique,Amphiscis_Orb,296,,-641.874,71.8522,-710.176,
unique,Amphiscis_Orb,296,,-576.107,60.7552,602.558,
unique,Amphiscis_Orb,296,,-568.332,103.39,-125.467,
unique,Amphiscis_Orb,296,,-520.58,141.942,138.2,
unique,Amphiscis_Orb,296,,-515.538,69.2622,-375.101,
unique,Amphiscis_Orb,296,,-514.544,243.322,301.504,
unique,Amphiscis_Orb,296,,-506.057,102.55,15.8678,
unique,Amphiscis_Orb,296,,-495.307,55.9942,-707.102,
unique,Amphiscis_Orb,296,,-482.937,186.044,422.336,
unique,Amphiscis_Orb,296,,-462.751,73.8112,-472.107,
unique,Amphiscis_Orb,296,,-436.08,37.12,449.49,CoastalTunnel
unique,Amphiscis_Orb,296,,-409.763,89.7852,373.309,CoastalTunnel
unique,Amphiscis_Orb,296,,-372.227,51.9162,814.078,
unique,Amphiscis_Orb,296,,-368.086,101.496,145.82,
unique,Amphiscis_Orb,296,,-357.631,75.2862,-208.456,
unique,Amphiscis_Orb,296,,-352.457,142.168,365.248,
unique,Amphiscis_Orb,296,,-309.41,82.32,-487.96,
unique,Amphiscis_Orb,296,,-302.423,77.7912,-397.239,
unique,Amphiscis_Orb,296,,-287.494,24.8102,802.668,
unique,Amphiscis_Orb,296,,-234.177,68.1542,659.348,
unique,Amphiscis_Orb,296,,-228.637,46.6742,-657.392,
unique,Amphiscis_Orb,296,,-220.985,89.5772,139.517,
unique,Amphiscis_Orb,296,,-129.635,95.0322,323.507,
unique,Amphiscis_Orb,296,,-114.024,27.3022,-495.726,
unique,Amphiscis_Orb,296,,-96.3535,36.478,885.661,
unique,Amphiscis_Orb,296,,-41.9537,26.0372,-956.897,
unique,Amphiscis_Orb,296,,-18.3307,98.8262,169.615,
unique,Amphiscis_Orb,296,,11.45,66.7302,207.41,
unique,Amphiscis_Orb,296,,25.9064,77.4522,89.6943,
unique,Amphiscis_Orb,296,,36.6333,37.1992,431.338,
unique,Amphiscis_Orb,296,,50.7014,78.5792,-186.253,
unique,Amphiscis_Orb,296,,110.413,72.0372,-195.082,
unique,Amphiscis_Orb,296,,126.683,84.1622,-383.731,
unique,Amphiscis_Orb,296,,152.58,34.31,554.45,
unique,Amphiscis_Orb,296,,168.964,68.2042,660.937,
unique,Amphiscis_Orb,296,,200.81,38.03,191.67,
unique,Amphiscis_Orb,296,,244.469,60.7022,-276.056,
unique,Amphiscis_Orb,296,,254.871,53.9352,-357.63,
unique,Amphiscis_Orb,296,,258.19,38.96,270.34,
unique,Amphiscis_Orb,296,,302.489,28.4722,579.512,
unique,Amphiscis_Orb,296,,385.24,74.82,218.15,
unique,Amphiscis_Orb,296,,393.026,107.326,-263.466,
unique,Amphiscis_Orb,296,,414.026,221.171,835.315,NewHome
unique,Amphiscis_Orb,296,,415.712,32.5002,669.899,
unique,Amphiscis_Orb,296,,482.54,37.3,161.1,
unique,Amphiscis_Orb,296,,493.24,34.79,-240.61,
unique,Amphiscis_Orb,296,,526.913,49.7669,-274.737,
unique,Amphiscis_Orb,296,,589.341,72.3452,430.558,
unique,Amphiscis_Orb,296,,635.733,62.6169,-299.767,
unique,Amphiscis_Orb,296,,672.856,44.1422,419.584,
unique,Amphiscis_Orb,296,,692.32,52.78,-850.96,
unique,Amphiscis_Orb,296,,717.727,65.4972,-467.497,
unique,Amphiscis_Orb,296,,746.246,46.1892,-49.2337,
unique,Amphiscis_Orb,296,,780.887,82.86,237.726,
unique,Amphiscis_Orb,296,,805.492,27.2422,-278.822,
unique,Amphiscis_Orb,296,,814.557,42.993,-769.572,
unique,Amphiscis_Orb,296,,928.33,29.5997,752.78,
