type,item,item_id,amount,x,y,z,area
food,Carrant,8,1,-352.78,92.07,-706.51,
food,Carrant,8,2,-311.51,72.4,-563.43,
food,Carrant,8,2,-276.564,70.6214,235.812,
food,Carrant,8,2,-236.77,59.04,-330.25,
food,Carrant,8,1,-234.43,64.68,-256.48,
food,Carrant,8,3,-193.11,67.39,-468.44,
food,Carrant,8,1,-144.47,68.21,-449.35,
food,Carrant,8,2,-103.16,62.9895,-81.3869,
food,Carrant,8,2,-70.4986,64.7709,3.22668,
food,Carrant,8,2,-23.9987,60.5643,-184.286,
food,Carrant,8,2,81.7693,64.5444,-255.81,
food,Carrant,8,2,168.531,61.7142,131.7,
