type,item,item_id,amount,x,y,z,area
material,DryClay,78,1,-98.4688,25.7619,-546.455,
material,DryClay,78,1,252.9,66.81,-191.72,
material,DryClay,78,2,317.61,52.18,-327.46,
material,DryClay,78,2,351.49,65.6,-189.62,
material,DryClay,78,2,373.74,80.13,0.06,
material,DryClay,78,1,376.118,50.4462,-96.0593,
material,DryClay,78,2,493.53,33.98,-367.85,
material,DryClay,78,2,539.33,51.46,-159.39,
material,DryClay,78,2,559.54,54.84,-54.1,
material,DryClay,78,2,567.95,33.99,-336.34,
material,DryClay,78,2,578.03,82.14,93.83,
material,DryClay,78,1,586.56,27.83,-625.58,
material,DryClay,78,2,633.46,27.5,-723.65,
material,DryClay,78,2,663.54,75.26,41.2,
material,DryClay,78,2,669.26,33.35,-292.69,
material,DryClay,78,2,718.28,28.02,-491.45,
material,DryClay,78,1,723.94,78.38,138.87,
