type,item,item_id,amount,x,y,z,area
food,Fatplant,61,2,175.487,59.9766,-61.3621,
food,Fatplant,61,2,317.638,48.277,-111.597,
food,Fatplant,61,2,440.696,80.2555,80.6233,
food,Fatplant,61,1,477.817,59.9355,-67.3691,
food,Fatplant,61,1,498.043,75.9813,297.74,
food,Fatplant,61,3,551.42,30.32,-562.77,
food,Fatplant,61,1,579.885,49.4047,-197.98,
food,Fatplant,61,2,620.9,35.3717,-321.571,
food,Fatplant,61,2,679.926,28.5253,-436.372,
food,Fatplant,61,1,733.67,31.88,-286.24,
food,Fatplant,61,2,755.339,78.5229,166.291,
