type,item,item_id,amount,x,y,z,area
unique,Idea,284,,-802.858,63.2856,-483.055,
unique,Idea,131,,-774.005,105.44,-162.855,
unique,Idea,210,,-674.123,148.752,449.877,
unique,Idea,202,,-636.473,196.137,280.527,
unique,Idea,126,,-556.528,39.2788,783.98,
unique,Idea,276,,-531.493,59.58,592.63,
unique,Idea,200,,-463.685,79.7058,-469.388,
unique,Idea,388,,-463.436,79.7538,-469.22,
unique,Idea,297,,-462.023,78.9668,-495.333,
unique,Idea,299,,-461.932,78.2198,-495.221,
unique,Idea,297,,-458.005,84.7228,-470.38,
unique,Idea,138,,-397.857,155.886,273.067,
unique,Idea,367,,-366.947,78.4038,-126.84,
unique,Idea,213,,-274.823,120.23,456.827,
unique,Idea,205,,-222.663,63.1568,-293.593,
unique,Idea,132,,-218.658,89.9704,139.791,
unique,Idea,275,,-187.05,25.9742,-840.146,
unique,Idea,274,,-135.343,76.1268,-190.263,
unique,Idea,125,,-111.945,52.5762,-507.832,
unique,Idea,217,,-62.9533,37.472,332.787,CouncilCave
unique,Idea,368,,-60.074,37.287,326.865,CouncilCave
unique,Idea,348,,83.8442,71.8242,-75.2045,
unique,Idea,346,,87.5952,71.8942,-74.9505,
unique,Idea,139,,116.922,80.9528,-199.715,
unique,Idea,211,,163.645,69.3568,326.626,
unique,Idea,212,,276.777,33.0056,744.81,
unique,Idea,204,,314.208,87.1738,49.4423,
unique,Idea,274,,389.982,108.637,-239.494,
unique,Idea,282,,426.039,197.923,836.507,NewHome
unique,Idea,283,,428.374,197.109,835.552,NewHome
unique,Idea,141,,467.77,56.106,441.32,AncientStables
unique,Idea,276,,484.717,31.9436,166.157,
unique,Idea,203,,619.17,32.2868,-486.903,
unique,Idea,132,,622.23,40.427,-598.338,
unique,Idea,368,,671.59,44.6589,418.589,
unique,Idea,125,,721.14,70.8318,84.1213,
unique,Idea,279,,723.02,81.4002,184.449,
unique,Idea,124,,808.833,-2.547,-155.268,GobbledewTomb
