type,item,item_id,amount,x,y,z,area
food,Nuctus,60,2,283.734,50.6262,-142.47,
food,Nuctus,60,1,294.412,66.9897,-169.941,
food,Nuctus,60,2,324.104,51.9711,-347.627,
food,Nuctus,60,2,404.247,48.239,-115.357,
food,Nuctus,60,2,486.76,80.4818,110.603,
food,Nuctus,60,2,507.25,75.03,200.36,
food,Nuctus,60,1,585.472,33.1597,-235.139,
food,Nuctus,60,4,632.454,26.2911,-749.188,
food,Nuctus,60,2,644.4,28.8,-575.94,
food,Nuctus,60,1,650.602,33.1611,-276.064,
food,Nuctus,60,1,656.187,31.2702,-509.424,
food,Nuctus,60,2,660.28,28.8483,-666.177,
food,Nuctus,60,2,701.469,28.8,-678.362,
