type,item,item_id,amount,x,y,z,area
food,RidgeFennel,70,2,-842.64,76.5183,-181.28,
food,RidgeFennel,70,1,-772.37,78.281,-106.459,
food,RidgeFennel,70,2,-768.76,106.89,-305.77,
food,RidgeFennel,70,3,-757.967,104.522,-376.08,
food,RidgeFennel,70,2,-741.92,110.1,48.73,
food,RidgeFennel,70,1,-693.595,117.21,-24.079,
food,RidgeFennel,70,2,-679.103,51.7027,598.611,
food,RidgeFennel,70,1,-637.591,166.998,436.747,
food,RidgeFennel,70,2,-597.873,163.211,223.411,
food,RidgeFennel,70,2,-591.774,57.6152,596.048,
food,RidgeFennel,70,2,-505.644,52.5574,768.532,
food,RidgeFennel,70,1,-499.587,83.9882,593.934,
food,RidgeFennel,70,2,-461.415,163.323,475.246,
food,RidgeFennel,70,2,-430.56,92.18,-24.18,
food,RidgeFennel,70,2,-425.219,90.5715,76.3512,
food,RidgeFennel,70,2,-383.35,148.08,288.46,
food,RidgeFennel,70,2,-351.89,91.8,-706.12,
food,RidgeFennel,70,2,-344.171,126.691,532.548,
food,RidgeFennel,70,2,-322.18,53.02,758.25,
food,RidgeFennel,70,2,-207.06,111.98,489.31,
food,RidgeFennel,70,2,-192.136,90.0673,546.961,
food,RidgeFennel,70,2,-111.71,99.25,145.36,
food,RidgeFennel,70,2,-100.22,91.4,494.74,
food,RidgeFennel,70,3,-73.2588,77.3683,486.338,
food,RidgeFennel,70,2,-41.8988,98.0779,250.647,
food,RidgeFennel,70,2,-16.0302,99.3345,157.026,
food,RidgeFennel,70,1,6.03822,71.7989,372.103,
food,RidgeFennel,70,2,63.4303,55.3651,311.168,
