type,item,item_id,amount,x,y,z,area
material,Sandstone,34,2,-183.88,25.29,-561.61,
material,Sandstone,34,1,220.63,50.41,-84.88,
material,Sandstone,34,1,290.66,54.72,-36.12,
material,Sandstone,34,2,433.9,60.92,-55.49,
material,Sandstone,34,1,457.01,77.29,268.14,
material,Sandstone,34,2,465.97,53.26,-156.99,
material,Sandstone,34,2,544.21,29.82,-403.1,
material,Sandstone,34,2,582.01,34.06,-321.71,
material,Sandstone,34,2,625.562,30.3083,-464.933,
material,Sandstone,34,1,633.09,54.58,-220.67,
material,Sandstone,34,1,640.86,30.24,-516.3,
material,Sandstone,34,2,653.29,77.77,159.86,
material,Sandstone,34,2,829.32,55.57,291.89,
