type,item,item_id,amount,x,y,z,area
material,Wood,14,2,-817.78,78.24,-115.35,
material,Wood,14,2,-728.09,82.703,-88.867,
material,Wood,14,2,-699.14,65.43,-481.8,
material,Wood,14,6,-686.08,61.34,-558.05,
material,Wood,14,2,-612.695,60.3522,618.998,
material,Wood,14,2,-593.41,56.84,641.93,
material,Wood,14,2,-589.08,60.72,626.48,
material,Wood,14,2,-512.53,62.91,-497.13,
material,Wood,14,4,-504.94,99.83,103.01,
material,Wood,14,4,-484.709,55.9725,-732.874,
material,Wood,14,2,-452.06,59.52,-638.05,
material,Wood,14,4,-435.67,64.81,-260,
material,Wood,14,6,-391.44,76.68,-398.78,
material,Wood,14,4,-388.97,59.98,-339.72,
material,Wood,14,8,-345.06,65.77,-151.06,
material,Wood,14,4,-330.252,66.293,-142.544,
material,Wood,14,6,-325.82,89.26,-670.09,
material,Wood,14,4,-314.26,74.9873,-255.07,
material,Wood,14,4,-311.469,119.209,389.172,
material,Wood,14,2,-257.33,66.96,183.76,
material,Wood,14,2,-257.514,92.9546,502.793,
material,Wood,14,2,-235.595,58.9887,-328.681,
material,Wood,14,4,-210.61,68.95,-445.02,
material,Wood,14,4,-201.07,68.43,-451.2,
material,Wood,14,4,-201.39,59.29,-358.95,
material,Wood,14,6,-197.51,73.78,-269.51,
material,Wood,14,2,-176.117,63.2394,-85.0837,
material,Wood,14,4,-168.99,53.48,723.43,
material,Wood,14,2,-163.029,63.4056,-144.203,
material,Wood,14,4,-150.169,59.0953,-240.929,
material,Wood,14,2,-149.985,61.681,-138.816,
material,Wood,14,2,-147.011,63.9126,-59.9828,
material,Wood,14,6,-140.67,67.94,-461.64,
material,Wood,14,4,-71.0043,60.9911,-169.666,
material,Wood,14,4,-11.249,63.1501,-210.606,
material,Wood,14,2,22.94,35.41,568.09,
material,Wood,14,4,54.6531,61.2874,232.409,
material,Wood,14,4,81.92,71.68,-323.15,
material,Wood,14,6,94.94,35.22,463.05,
material,Wood,14,2,137.046,60.3174,170.891,
material,Wood,14,4,144.996,73.2093,-216.433,
material,Wood,14,4,146.23,61.61,19.43,
material,Wood,14,2,151,35.92,618.71,
material,Wood,14,2,185.78,63.26,-107.81,
material,Wood,14,4,206.94,37.33,206.28,
material,Wood,14,4,223.3,35.49,274.24,
material,Wood,14,4,249.884,42.2402,481.493,
material,Wood,14,2,287,47.91,-90.68,
material,Wood,14,4,429.45,60,-71.47,
material,Wood,14,4,530.613,51.3357,-75.6037,
material,Wood,14,4,551.25,76.87,175.53,
material,Wood,14,2,602.71,30.6,-543.28,
material,Wood,14,4,614.06,37.34,490.75,
material,Wood,14,2,654.07,54.72,-225.28,
material,Wood,14,2,673.14,71.98,14.05,
material,Wood,14,2,754.24,28.27,-356.5,
material,Wood,14,2,767.92,25.36,-249.22,
